ID,name▾,zl,zs,theta_sep,source,,
10,SDSSJ0114+0722,0.408,1.828,1.7,More et al. 2016,,
100,PG1115+080,0.311,1.735,2.43,Weymann et al. 1980,,
104,RXJ1131-1231,0.295,0.658,3.23,Sluse et al. 2003,,
105,SDSSJ1131+1915,0.32?,2.915,1.40,Kayo et al. 2010,,
107,SDSSJ1138+0314,0.445,2.438,1.44,Inada et al. 2008,,
108,SDSSJ1155+6346,0.176,2.888,1.93,Pindor et al. 2004,,
109,B1152+199,0.438,1.019,1.56,Myers et al. 1999,,
110,SDSSJ1206+4332,0.748,1.789,3.03,Oguri et al. 2005,,
112,SDSSJ1216+3529,0.55*,2.013,1.49,Oguri et al. 2008,,
113,SDSSJ1226-0006,0.517,1.123,1.26,Inada et al. 2008,,
115,SDSSJ1251+2935,0.410,0.802,1.79,Kayo et al. 2007,,
117,SDSSJ1254+1857,0.555,1.717,2.32,More et al. 2016,,
120,2M1310-1714,0.293,1.975,5.74,Lucey et al. 2018,,
121,SDSSJ1313+5151,0.194,1.877,1.22,Ofek et al. 2007,,
122,SDSSJ1320+1644*,0.899,1.502,8.57,Rusu et al. 2013,,
124,J1326+4806,0.396,2.078,21.1,Shu et al. 2019,,
126,SDSSJ1330+1810,0.373,1.393,1.76,Oguri et al. 2008,,
127,SDSSJ1332+0347,0.191,1.438,1.12,Morokuma et al. 2007,,
129,SDSSJ1335+0118,0.440,1.570,1.62,Oguri et al. 2004,,
130,SDSSJ1339+1310,0.607,2.241,1.70,Inada et al. 2009,,
133,Q1355-2257,0.701,1.370,1.23,Morgan et al. 2003,,
134,SDSSJ1400+3134,0.8?,3.317,1.75,Inada et al. 2009,,
136,ULASJ1405+0959,0.66*,1.81,1.97,Jackson et al. 2012,,
137,SDSSJ1406+6126,0.27,2.135,1.99,Inada et al. 2007,,
138,HST14113+5211,0.465,2.811,1.8,Fischer et al. 1998,,
141,B1422+231,0.339,3.62,1.28,Patnaik et al. 1992,,
142,SDSSJ1433+6007,0.407,2.74,3.6,Agnello et al. 2018,,
143,SDSSJ1442+4055,0.284,2.575,2.13,More et al./Sergeyev et al. 2016,,
144,SDSSJ1452+4224,0.382,4.819,1.59,More et al. 2016,,
145,SDSSJ1455+1447,0.42*,1.424,1.75,Kayo et al. 2010,,
148,SDSSJ1515+1511,0.742,2.054,2.01,Inada et al. 2014,,
15,PMNJ0134-0931,0.765,2.22,0.68,Winn et al. 2002,,
153,SDSSJ1524+4409,0.320,1.21,1.80,Oguri et al. 2008,,
157,SDSSJ1537+3014,0.490,1.553,2.08,More et al. 2016,,
16,J0140-1152,0.28,1.80,1.47,Agnello et al.+Lemon et al. 2018,,
160,B1600+434,0.414,1.589,1.4,Jackson et al. 1995,,
161,PSJ1602+4526,0.426,2.16,2.7,Lemon et al. 2018,,
163,B1608+656,0.630,1.39,2.27,Myers et al. 1995,,
166,SDSSJ1620+1203,0.398,1.158,2.81,Kayo et al. 2010,,
172,SDSSJ1640+1932,0.195,0.778,5.1,Wang et al. 2017,,
178,PSJ1721+8842,0.184,2.37,4.03,Lemon et al. 2018,,
18,Q0142-100,0.491,2.719,2.23,Surdej et al. 1987,,
181,PKS1830-211,0.886,2.51,0.99,Subrahmanyan et al. 1990,,
182,PMNJ1838-3427,0.36?,2.78,0.99,Winn et al. 2000,,
183,B1933+503,0.755,2.638,1.52,Sykes et al. 1998,,
184,B1938+666,0.881,2.059,1.02,Patnaik et al. 1992,,
187,MG2016+112,1.004,3.27,2.56,Lawrence et al. 1984,,
188,WGD2021-4115,0.335,1.390,2.75,Agnello et al. 2018,,
190,WFI2033-4723,0.661,1.662,2.53,Morgan et al. 2004,,
191,WGD2038-4008,0.230,0.777,2.87,Agnello et al. 2018,,
192,B2045+265,0.87,1.28,1.9,Fassnacht et al. 1999,,
193,J2100-4452,0.203,0.92,2.51,Spiniello et al. 2019,,
199,SDSSJ2146-0047,0.799,2.381,1.39,Agnello et al./More et al. 20152016,,
20,PSJ0147+4630,0.678,2.377,3.26,Berghea et al. 2017,,
200,HE2149-2745,0.603,2.033,1.70,Wisotzki et al. 1996,,
202,CY2201-3201,0.32,3.9,0.83,Castander et al. 2006,,
205,SDSSJ2222+2745,0.49,2.82,15.1,Dahle et al. 2013,,
206,Q2237+030,0.039,1.69,1.78,Huchra et al. 1984,,
214,VDESJ2325-5229,0.400,2.74,2.82,Ostrovski et al. 2017,,
22,QJ0158-4325,0.317,1.29,1.22,Morgan et al. 1999,,
26,B0218+357,0.685,0.96,0.34,Patnaik et al. 1993,,
28,HE0230-2130,0.523,2.162,2.05,Wisotzki et al. 1999,,
32,SDSSJ0246-0825,0.723,1.689,1.10,Inada et al. 2005,,
35,SDSSJ0256+0153,0.603,2.6,1.93,More et al. 2016,,
41,DESJ0407-1931,0.29,2.27,2.52,Lemon et al. 2019,,
42,DESJ0408-5354,0.597,2.375,4.29,Lin et al. 2017,,
43,MG0414+0534,0.96,2.64,2.4,Hewitt et al. 1992,,
45,HE0435-1223,0.454,1.693,2.54,Wisotzki et al. 2002,,
54,B0712+472,0.406,1.339,1.46,Jackson et al. 1998,,
57,ULASJ0743+2457,0.381,2.165,1.03,Jackson et al./Inada et al. 20122014,,
58,SDSSJ0746+4403,0.513,1.998,1.08,Inada et al. 2007,,
59,SDSSJ0806+2006,0.573,1.540,1.49,Inada et al. 2006,,
6,HE0047-1756,0.407,1.678,1.43,Wisotzki et al. 2004,,
62,SDSSJ0819+5356,0.294,2.239,4.04,Inada et al. 2009,,
63,ULASJ0820+0812,0.803,2.024,2.24,Jackson et al. 2009,,
64,HS0818+1227,0.39,3.113,2.55,Hagen et al. 2000,,
65,SDSSJ0821+4542,0.349,2.066,1.35,More et al. 2016,,
67,SDSSJ0832+0404,0.659,1.116,2.17,Oguri et al. 2008,,
68,PSJ0840+3550,0.26,1.77,2.74,Lemon et al. 2018,,
70,SDSSJ0903+5028,0.388,3.584,2.84,Johnston et al. 2003,,
74,RXJ0911+0551,0.769,2.763,3.25,Bade et al. 1997,,
75,SBS0909+532,0.830,1.378,1.11,Kochanek et al. 1997,,
76,SDSSJ0921+2854,0.445,1.41,1.89,More et al. 2016,,
77,SDSSJ0924+0219,0.393,1.523,1.81,Inada et al. 2003,,
78,J0941+0518,0.343,1.54,5.37,Williams et al.+Lemon et al. 2018,,
79,SDSSJ0946+1835,0.388,4.799,3.05,McGreer et al. 2010,,
80,PSJ0949+4208,0.508,1.27,2.60,Lemon et al. 2018,,
81,FBQ0951+2635,0.260,1.247,1.10,Schechter et al. 1998,,
82,BRI0952-0115,0.632,4.5,0.99,McMahon et al. 1992,,
83,COSMOS5921+0638,0.551,3.14,1.0,Anguita et al. 2009,,
84,Q0957+561,0.3562,1.413,6.17,Walsh et al. 1979,,
85,SDSSJ1001+5027,0.415,1.841,2.93,Oguri et al. 2005,,
86,J1004+1229,0.95,2.64,1.54,Lacy et al. 2002,,
87,SDSSJ1004+4112,0.68,1.74,14.72,Inada et al. 2003,,
88,LBQS1009-0252,0.871,2.74,1.54,Hewett et al. 1994,,
9,DESJ0112-1650,0.54,0.99,1.38,Lemon et al. 2019,,
90,SDSSJ1021+4913,0.451,1.72,1.16,Pindor et al. 2006,,
91,FSC10214+4724,0.9?,2.286,1.59,Rowan-Robinson et al. 1991,,
92,SDSSJ1029+2623,0.584,2.199,22.54,Inada et al. 2006,,
93,B1030+074,0.599,1.535,1.65,Xanthopoulos et al. 1998,,
97,SDSSJ1055+4628,0.388,1.249,1.15,Kayo et al. 2010,,
98,HE1104-1805,0.729,2.32,3.19,Wisotzki et al. 1993,,
99,HE1113-0641,0.75?,1.235,0.66,Blackburne et al. 2004,,
,,,,,,,
,HSC J091843.27–022007.5,0.459,0.804,2.26,https://arxiv.org/abs/1704.01585,,
,CXCO J100201.50+020330.0,0.439,2.016,0.85,https://arxiv.org/abs/1704.01586,,
,SDSS J135944.21+012809.8,0.439,1.096,1.05,https://arxiv.org/abs/1704.01587,,
,J0030-3358,0.715,1.58,2.03,https://arxiv.org/abs/2409.17471,,
,J0156-2751,0,2.97,1.5,https://arxiv.org/abs/2409.17472,,
,J0907+0003,0.393,1.299,1.32,https://arxiv.org/abs/2409.17473,,
,SDSSJ0924+0219,0.439,1.685,1.34,https://arxiv.org/abs/2409.17474,,
,CXCOJ100201.50+020330.0,0.439,2.016,0.85,https://arxiv.org/abs/2409.17475,,
,J1037+0018,0,2.462,1.25,https://arxiv.org/abs/2409.17476,,
,KIDS1042+0023,0,2.26,1.45,https://arxiv.org/abs/2409.17477,,
,SDSSJ1138+0314,0.445,2.438,1.44,https://arxiv.org/abs/2409.17478,,
,SDSSJ1226-0006,0,1.125,1.21,https://arxiv.org/abs/2409.17479,,
,J1233-0227,0.345,1.598,1.76,https://arxiv.org/abs/2409.17480,,
,SDSSJ1332+0347,0.191,1.685,0.99,https://arxiv.org/abs/2409.17481,,
,J1335+0118,0.44,1.57,1.62,https://arxiv.org/abs/2409.17482,,
,J1359+0129,0,1.096,1.05,https://arxiv.org/abs/2409.17483,,
,SDSSJ1458-0202,0,1.724,2.15,https://arxiv.org/abs/2409.17484,,
,ULASJ1527+0141,0.3,1.439,2.55,https://arxiv.org/abs/2409.17485,,
,CY2201-3201,0.32,3.9,0.83,https://arxiv.org/abs/2409.17486,,
,J221849.86-332243.6,0,2,0.6,https://arxiv.org/abs/2409.17487,,
,KIDS2307-3039,0.46,2.64,2.64,https://arxiv.org/abs/2409.17488,,
,J2329-3409,0.381,1.59,1.59,https://arxiv.org/abs/2409.17489,,
,WISE 2344-3056,0,2.18,2.18,https://arxiv.org/abs/2409.17490,,
,DESI-028.0797-24.8105,0.286,2.42,1.93,https://arxiv.org/abs/2208.06356,,
,J0140-1152,0.28,1.8,1.45,https://arxiv.org/abs/1803.07601,,
,J0840+3550,0.26,1.77,2.46,https://arxiv.org/abs/1803.07602,,
,J0941+0518,0.34,1.54,5.4,https://arxiv.org/abs/1803.07603,,
,J0949+4208,0.51,1.27,2.57,https://arxiv.org/abs/1803.07604,,
,J1602+4526,0.43,2.16,2.7,https://arxiv.org/abs/1803.07605,,
,J0247--0800,0.198,3.28,1.68,https://arxiv.org/abs/2206.07714,,
,J0310--5545,0.298,2.31,3.57,https://arxiv.org/abs/2206.07715,,
,J0347--2154,0.187,0.81,1.87,https://arxiv.org/abs/2206.07716,,
,J0405--3730,0.2295,3.585,1.7,https://arxiv.org/abs/2206.07717,,
,J0416+7428,0.097,0.9,2.64,https://arxiv.org/abs/2206.07718,,
,J0635+6452,0.427,1.845,3.07,https://arxiv.org/abs/2206.07719,,
,J0643+2725,0.185,1.562,2.44,https://arxiv.org/abs/2206.07720,,
,J0911--0948,0.251,1.47,2.52,https://arxiv.org/abs/2206.07721,,
,J0918--0220,0.46,0.803,2.26,https://arxiv.org/abs/2206.07723,,
,J0921+3020,0.428,3.335,2.93,https://arxiv.org/abs/2206.07724,,
,J0924+4235,0.415,3.17,4.64,https://arxiv.org/abs/2206.07725,,
,J0936--1211,0.26,2,2.11,https://arxiv.org/abs/2206.07726,,
,J1003+0651,0.225,2.565,2.62,https://arxiv.org/abs/2206.07727,,
,J1303+1816,0.46,2.95,2.26,https://arxiv.org/abs/2206.07728,, 
,J1307+0642,0.23,2.03,3.51,https://arxiv.org/abs/2206.07729,,
,J1326+3020,0.339,1.852,2.11,https://arxiv.org/abs/2206.07730,,
,J1526--1400,0.096,0.648,2.65,https://arxiv.org/abs/2206.07731,,
,J1548--2914,0.38,1.545,1.99,https://arxiv.org/abs/2206.07732,,
,J2106--4944,0.29,1.296,2.09,https://arxiv.org/abs/2206.07733,,